Target,Analog,Sigma Distance
WI_Calumet,OR_Umatilla,0.9257
WI_Columbia,OR_Jackson,0.46297
WI_Dodge,OR_Jackson,0.20625
WI_Door,OR_Jackson,1.03503
WI_Door,OR_Umatilla,1.40808
WI_Door,NJ_Salem,1.64615
WI_Green Lake,OR_Jackson,0.25829
WI_Green Lake,UT_Davis,0.99737
WI_Jefferson,UT_Davis,0.61909
WI_Kenosha,OR_Jackson,0.23738
WI_Kewaunee,OR_Jackson,0.84154
WI_Kewaunee,OR_Umatilla,1.57526
WI_Manitowoc,OR_Jackson,0.79618
WI_Manitowoc,UT_Davis,1.39402
WI_Manitowoc,OH_Erie,0.69153
WI_Manitowoc,WA_Walla Walla,1.64483
WI_Marathon,OR_Jackson,0.89152
WI_Marathon,UT_Davis,1.24121
WI_Marinette,UT_Weber,0.66245
WI_Marinette,OR_Jackson,1.05444
WI_Marinette,UT_Davis,0.97835
WI_Marquette,OR_Jackson,0.40122
WI_Oconto,UT_Weber,0.74504
WI_Oconto,OR_Jackson,0.79956
WI_Oconto,UT_Davis,1.09311
WI_Outagamie,OR_Jackson,0.31709
WI_Outagamie,UT_Davis,0.78371
WI_Outagamie,UT_Weber,0.89741
WI_Portage,UT_Davis,1.19127
WI_Portage,UT_Weber,0.80652
WI_Racine,OR_Jackson,0.19334
WI_Sheboygan,OR_Jackson,0.5699
WI_Sheboygan,UT_Davis,1.14488
WI_Sheboygan,OR_Josephine,1.43788
WI_Washington,UT_Davis,0.87628
WI_Washington,OR_Jackson,0.28371
WI_Waupaca,UT_Davis,0.81695
WI_Waupaca,OR_Jackson,0.34562
WI_Waushara,OR_Jackson,0.19484
WI_Waushara,UT_Davis,0.83594
WV_Berkeley,MO_Dunklin,0.90916
